Locality,Locality_type,Sternberg_Map_No,Latitude,Longitude,UTM_East,UTM_North,Elevation_MASL,Locality_no,Formation,Elevation_TMP_DEM,Reference_Oldman_contact,Contact_elev_TMP_DEM,Height_Oldman_DPF,Height_PT,Height_LCZ,Strat_unit,Within_DPP,Within_DPP_vicinity,Within_map,Within_bonebed,Identification,Discovered_by,Date_discovered,Staked,Date_staked,Last_date_checked,References
BB220,BB,,50.8127260571,-111.5978870293,457878,5629170,670,,DPF,668.050170898438,Contact 017,648.4369,19.6132708984379,,,DPF3,Y,Y,Y,,Mixed faunal Class B/D,P. J. Currie,2008-06-19,,,2008-06-19,
BB221,BB,,50.7750536277,-111.3818844238,473074,5624880,637,,Oldman,636.502380371094,Contact 033,655.827026367188,-19.324645996094,,,Oldman,Y,Y,Y,,Ceratopsid dominated,E. Koppelhus,2008-06-25,,,2008-06-25,
BB222,BB,,50.7799129095,-111.3781651731,473339,5625419,685.1,,DPF,684.490539550781,Contact 106,658.793518066406,25.697021484375,,,DPF3,Y,Y,Y,,Microsite,,,,,,
BB223,BB,,50.7801707126,-111.3763091055,473470,5625447,660,,DPF,656.241027832031,Contact 106,658.793518066406,-2.552490234375,,,DPF1,Y,Y,Y,,,,,,,,
BB224,BB,,50.7804479737,-111.3767794163,473437,5625478,665,,DPF,679.210510253906,Contact 106,658.793518066406,20.4169921875,,,DPF1,Y,Y,Y,,,,,,,,
BB225,BB,,50.7806085668,-111.3743835333,473606,5625495,667,,DPF,670.799072265625,Contact 106,658.793518066406,12.005554199219,,,DPF1,Y,Y,Y,,,,,,,,
BB226,BB,,50.7866127716,-111.3639762004,474343,5626159,705,,DPF,703.787902832031,Contact 100,658.422424316406,45.365478515625,,,DPF5,Y,Y,Y,,,,,,,,
BB227,BB,,50.7851626954,-111.3646884192,474292,5625998,690,,DPF,686.016296386719,Contact 100,658.422424316406,27.593872070313,,,DPF4,Y,Y,Y,,,,,,,,
BB228,BB,,50.7853600014,-111.3648601849,474280,5626020,697,,DPF,701.911743164062,Contact 100,658.422424316406,43.489318847656,,,DPF4,Y,Y,Y,,,,,,,,
BB229,BB,,50.7870541859,-111.3666041129,474158,5626209,710,,DPF,722.647766113281,Contact 100,658.422424316406,64.225341796875,,,DPF5,Y,Y,Y,,,,,,,,
BB230,BB,,50.8151097038,-111.5907205981,458385,5629431,683.4,,DPF,683.644836425781,Contact 017,648.4369,35.207936425781,,,DPF4,Y,Y,Y,,Mixed faunal Class B,,,,,,
BB231,BB,,50.7751137664,-111.3854731617,472821,5624888,681.3,,DPF,681.192993164062,Contact 033,655.827026367188,25.3659667968741,,,DPF3,Y,Y,Y,,Ceratopsid dominated Class A,,,,,,
BB232,BB,,50.7746373436,-111.3854125151,472825,5624835,668,,DPF,667.824462890625,Contact 033,655.827026367188,11.997436523437,,,DPF2,Y,Y,Y,,,,,,,,
BB233,BB,,50.7649995424,-111.4210804752,470304,5623777,681.6,,DPF,687.500183105469,Contact 127,660.0668,27.433383105469,,,DPF4,Y,Y,Y,,Microsite Class D,,,,,,
BB233A,BB,,50.7637578938867,-111.421253662762,470291,5623639,,,DPF,688.04541015625,Contact 127,660.0668,27.9786101562501,,,,,Y,,BB233,Ornithomimid tibia,R. Sissons,2018-06-19,,,,
BB234,BB,,50.7641435019,-111.4215548946,470270,5623682,683,,DPF,685.89990234375,Contact 127,660.0668,25.8331023437501,,,DPF4,Y,Y,Y,,Mixed faunal Class B,,,,,2022-08-21,
BB235,BB,,50.7882236859,-111.3606973809,474575,5626337,687.9,,DPF,690.16552734375,Contact 100,658.422424316406,31.743103027344,,,DPF4,N,Y,Y,,Class C,J. Scott,2011-06-11,,,,
BB236,BB,,50.7695034496,-111.4063016433,471349,5624272,690.3,,DPF,695.874206542969,Contact 160,660.351806640625,35.522399902344,,,DPF3,Y,Y,Y,,Turtle braincase,,2011-06-08,,,,
BB237,BB,,50.7786662544,-111.4950020297,465101,5625329,679.1,,DPF,676.24462890625,Contact 046,654.334,21.9106289062501,,,DPF3,Y,Y,Y,,Mixed faunal,E. Koppelhus,2012-07-05,,,,
BB237A,BB,,50.7787471256841,-111.495017067427,465100,5625338,681,,DPF,675.834289550781,Contact 046,654.334,21.5002895507811,,24.46,DPF3,Y,Y,Y,,Crocodile dentary in situ,A. van der Reest,2017-05-23,,,,
BB238,BB,,50.7801145922,-111.4863364965,465713,5625486,647.3,,Oldman,648.926696777344,Contact 046,654.334,-5.40730322265597,,,Oldman,Y,Y,Y,,,,2012-07-05,,,,
BB239,BB,,50.7523375903,-111.3953651468,472110,5622359,705.2,,DPF,702.709106445312,Contact 074,656.457275390625,46.251831054687,,,DPF5,Y,Y,Y,,,,2012-07-08,,,,
BB240,BB,,50.7598604222,-111.4344752913,469356,5623211,652.9,,Oldman,650.689208984375,Contact 147,661.4158,-10.726591015625,,,Oldman,Y,Y,Y,,Microsite Class D,,2013-05-29,,,,
BB241,BB,,50.7411173988,-111.399763353,471793,5621113,710.4,,DPF,713.672058105469,Contact 186,667.921569824219,45.75048828125,,,DPF5,Y,Y,Y,,Mixed faunal Class B,E. Felber,2014-05-26,,,,
BB242,BB,,50.740121776,-111.4016256111,471661,5621003,668.6,,DPF,669.3720703125,Contact 186,667.921569824219,1.45050048828102,,,DPF1,Y,Y,Y,,,,2014-05-26,,,,
BB243,BB,,50.7738086933,-111.4069771491,471304,5624751,681.7,,DPF,683.642944335938,Contact 160,660.351806640625,23.291137695313,,,DPF2,N,Y,Y,,,,2014-06-08,,,,
BB244,BB,,50.7635218403,-111.4341263567,469383,5623618,728.3,,DPF,672.70654296875,Contact 147,661.4158,11.29074296875,,,DPF3,Y,Y,Y,,Mixed faunal Class B; 6m above BB41A,A. van der Reest,2014-06-09,,,,
BB245,BB,,50.7652422502,-111.3873772176,472681,5623791,685.3,,DPF,685.268188476562,Contact 157,661.868896484375,23.399291992187,,,DPF3,Y,Y,Y,,Class D,,2014-06-10,,,,
BB246,BB,,50.7668972895,-111.3818180207,473074,5623973,633.3,,DPF,666.303100585938,Contact 033,655.827026367188,10.47607421875,,,Oldman,Y,Y,Y,,,G. Funston,2014-06-08,,,,
BB247,BB,,50.7480626213,-111.4219774495,470230,5621894,693.2,,DPF,694.318359375,Contact 127,660.0668,34.2515593750001,,,DPF4,Y,Y,Y,,Mixed faunal Class B,,2014-06-23,,,,
BB248,BB,,50.795886415,-111.3455740474,475645,5627184,682.6,,DPF,NA,NA,NA,NA,,,DPF3,N,Y,N,,,,2014-06-25,,,,
BB249,BB,,50.846833893,-111.1338629537,490576,5632801,697.9,,DPF,NA,NA,NA,NA,,,,N,N,N,,Microsite Class D,,2014-06-27,,,,
BB250,BB,,50.8476966548,-111.1343341792,490543,5632897,671.6,,DPF,NA,NA,NA,NA,,,,N,N,N,,Microsite Class D,,2014-06-27,,,,
BB251,BB,,50.9100939398,-111.8717925769,438709,5640189,656.4,,DPF,NA,NA,NA,NA,,,,N,N,N,,Class C,,2015-05-21,,,,
BB252,BB,,50.8272490893,-111.8744798724,438411,5630979,667.3,,DPF,NA,NA,NA,NA,,,,N,N,N,,Class C,,2015-05-22,,,,
BB253,BB,,50.7768812693,-111.381246874,473120,5625083,673.4,,DPF,674.716003417969,Contact 103,658.635681152344,16.080322265625,,,DPF2,Y,Y,Y,,Microsite Class D,,2015-05-31,,,,
BB254,BB,,50.7646650628,-111.4314002619,469576,5623744,673.9,,DPF,671.839904785156,Contact 147,661.4158,10.424104785156,,,DPF3,Y,Y,Y,,Mixed faunal Class B,,2015-06-08,,,,
BB255,BB,,50.7685874401,-111.3764430648,473454,5624159,668.2,,DPF,669.291137695312,Contact 103,658.635681152344,10.6554565429681,,,DPF1,Y,Y,Y,,,,2017-05-26,,,,
BB256,BB,,50.7969903918,-111.5778776788,459274,5627409,607.1,,Oldman?,669.89208984375,Contact 014,647.69970703125,22.1923828125,,,Oldman,Y,Y,Y,,,,2019-05-26,,,,
BB257,BB,,50.7968768627,-111.5771951843,459322,5627396,666.7,,DPF,669.822570800781,Contact 014,647.69970703125,22.122863769531,,,DPF2,Y,Y,Y,,,,2019-05-26,,,,
BB258,BB,,50.7508984628,-111.4033196475,471548,5622202,692.2,,DPF,694.642150878906,Contact 087,654.286865234375,40.355285644531,,,DPF4,Y,Y,Y,,Mixed faunal; multigeneric,,2019-05-28,,,,
BB259,BB,,50.8241056723,-111.5954199738,458062,5630434,655.7,,DPF,661.592102050781,Contact 017,648.4369,13.155202050781,,,DPF1,Y,Y,Y,,,,2019-06-22,,,,
BB260,BB,,50.8306671959,-111.5978180002,457899,5631165,650.1,,DPF,652.217468261719,Contact 017,648.4369,3.78056826171894,,,DPF1,Y,Y,Y,,,,2019-06-22,,,,
BB261,BB,,50.7681561164,-111.4381540259,469102,5624135,658.5,,DPF,663.788696289062,Contact 147,661.4158,2.37289628906206,,,DPF1,N,Y,Y,,?Ceratopsidae Class C,,2019-06-23,,,,
BB261A,BB,,50.7678428664,-111.4377540425,469130,5624100,659.8,,DPF,661.732666015625,Contact 147,661.4158,0.31686601562501,,,DPF1,N,Y,Y,,,,2019-06-23,,,,
BB262,BB,,50.7655182463,-111.4389376432,469045,5623842,649.9,,DPF,654.391235351562,Contact 147,661.4158,-7.02456464843795,,,DPF1,Y,Y,Y,,Microsite,,2019-06-23,,,,
BB262B,BB,,50.765607156,-111.4415901248,468858,5623853,651.2,,DPF,653.398620605469,Contact 147,661.4158,-8.01717939453101,,,DPF1,Y,Y,Y,,,,2019-06-23,,,,
BB263,BB,,50.7542181694,-111.408111477,471212,5622573,664.1,,DPF,666.146362304688,Contact 087,654.286865234375,11.859497070313,,,DPF1,Y,Y,Y,,,,2019-06-24,,,,
BB263A,BB,,50.7542359054999,-111.408182513699,471207,5622575,,,DPF,665.375183105469,Contact 087,654.286865234375,11.088317871094,,,,,Y,BB263,,,M. Burns,2013-05-22,,,,
BB264,BB,,50.7416630099132,-111.490104879194,465419,5621212,690,,DPF,694.024841308594,Contact 201,670.5576,23.467241308594,,,DPF2,Y,Y,Y,,,,,,,,
BB265,BB,,50.7498692281629,-111.478155808659,466268,5622119,694.4,,DPF,697.76806640625,Contact 218,665.7163,32.05176640625,,,LCZ,Y,Y,Y,,LCZ mixed faunal Class C,,,,,,
BB266,BB,,50.7435709325788,-111.516855665756,463533,5621437,662.4,,Oldman?,665.531005859375,Contact 238,660.914184570312,4.61682128906296,,,Oldman,Y,Y,Y,,Class C/D,,,,,,
BB267,BB,,50.771624196997,-111.519944383798,463337,5624558,656.8,,DPF,665.918518066406,Contact 046,654.334,11.5845180664061,,,DPF1,Y,Y,Y,,Mixed faunal Class B,,,,,,
BB268,BB,,50.7500290426425,-111.495876507675,465018,5622145,668.4,,DPF,670.928894042969,Contact 169,664.216674804688,6.71221923828102,,,DPF1,Y,Y,Y,,Mixed faunal,,,,,,
BB269,BB,,50.7621701870751,-111.476296113073,466408,5623486,661.9,,DPF,663.989562988281,Contact 167,663.8688,0.120762988281058,,,DPF1,Y,Y,Y,,Mixed faunal,,,,,,
BB270,BB,,50.742627074892,-111.498165220907,464851,5621323,680.9,,DPF,681.665771484375,Contact 201,670.5576,11.108171484375,,,DPF1,Y,Y,Y,,Microsite,,,,,,
BB272,BB,,50.7340418064425,-111.509948975897,464013,5620374,704.4,,DPF,703.920288085938,Contact 202,671.2587,32.661588085938,,,DPF4,Y,Y,Y,,Class C phosphatized,,,,,,
BB273,BB,,50.7415508264359,-111.493250047313,465197,5621201,696.6,,DPF,693.25244140625,Contact 201,670.5576,22.69484140625,,,DPF3,Y,Y,Y,,Mixed faunal Class C,,,,,,
BB274,BB,,50.7526528354756,-111.502680383016,464540,5622440,675,,DPF,674.775939941406,Contact 146,661.415832519531,13.360107421875,,,DPF2,Y,Y,Y,,,,,,,,
BB275,BB,,50.8168852463003,-111.588159409833,458567,5629627,678,,DPF,680.704345703125,Contact 017,648.4369,32.267445703125,,,DPF3,Y,Y,Y,,Mixed faunal,,,,,,
BB276,BB,,50.7471271347327,-111.503613416225,464470,5621826,686.6,,DPF,683.15185546875,Contact 169,664.216674804688,18.935180664062,,,DPF3,Y,Y,Y,,Mixed faunal Class C,,,,,,
BB277,BB,,,,457917,5630412,665.5,,,667.315490722656,Contact 017,648.4369,18.878590722656,,,,,Y,,,,,2023-06-25,,,,
BB278,BB,,,,457902,5630166,663.3,,,664.874938964844,Contact 017,648.4369,16.4380389648439,,,,,Y,,,,,2023-06-24,,,,
BB279,BB,,,,460084,5629352,688.7,,,688.454162597656,Contact 017,648.4369,40.017262597656,,,,,Y,,,,,2023-06-27,,,,
BB280,BB,,,,459620,5629073,696.7,,,696.996643066406,Contact 017,648.4369,48.559743066406,,,,,Y,,,,,2023-06-27,,,,
BB281,BB,,,,463823,5623633,638,L2456; Public Loop Road BB,Oldman,635.904052734375,Contact 063,655.447387695312,-19.543334960937,,,Oldman,Y,Y,Y,,Coronosaurus brinkmani plus mixed faunal,C. Brown,,,,,
BB282,BB,,,,463522,5621413,,Rhodes microsite,,667.405639648438,Contact 233,667.058166503906,0.347473144531932,,,,,Y,,,Class B/D,M. Rhodes,,,,,
BB300,BB,,50.7411071109,-111.463298768,467310,5621138,,Princess BB,DPF,709.953491210938,Contact 071,654.839294433594,30,,,DPF3,Y,Y,Y,,Princess BB,,,,,,Eberth et al. 2014
BB301,BB,,50.7732828353,-111.5290678092,462695,5624747,,Fryberger BB,DPF,695.665161132812,Contact 084,657.150451660156,38.514709472656,,,DPF5,Y,Y,Y,,Fryberger Styracosaurus BB,,,,,,
BB303,BB,,50.759663,-111.393642,472236,5623173,688,,DPF,686.000244140625,Contact 162,662.910339355469,23.089904785156,,,DPF3,Y,Y,Y,,Mixed faunal Class B/D; hadrosaur dominated in one quarry; 1.5 m above BB190,H. Larsson; A. Demers-Potvin,2022-08-11,N,2023-08-12,,AD-P thesis
BB304,BB,,50.7526760766072,-111.450796281166,468200,5622419,669,BB 08-10 A,DPF,669.649963378906,Contact 132,660.300903320312,9.34906005859398,,,,Y,Y,Y,,Mixed faunal,A. Demers-Potvin; S. Côté; M. Hunter-Batal,2023-08-10,N,2023-08-11,,
BB305,BB,,50.7520842005112,-111.455000827822,467903,5622355,,BB 08-11 C,DPF,667.122985839844,Contact 151,661.985534667969,5.137451171875,,,,Y,Y,Y,,Mixed faunal,H. Larsson,2023-08-11,N,2023-08-19,,
BB306,BB,,50.7528242454638,-111.389712996251,472509,5622411,719,BB 08-13 A,DPF,716.520263671875,Contact 162,662.910339355469,53.609924316406,,,,Y,Y,Y,,Mixed faunal with microsite,L.-P. Bateman; A. Mueller,2023-08-13,N,2023-08-15,,
BB307,BB,,50.7566876633009,-111.39344533737,472248,5622842,659,BB 08-13 B,DPF,659.041259765625,Contact 162,662.910339355469,-3.86907958984398,,,,Y,Y,Y,,Mixed faunal,H. Larsson; A. Howenstine,2023-08-13,N,2023-08-15,,
BB308,BB,,50.7335203360169,-111.507860282212,464160,5620315,,,DPF,721.401245117188,Contact 202,671.2587,50.142545117188,,,LCZ,,Y,,,Mixed faunal,D. Tanke,1998,N,,,
BB309,BB,,50.7468106843547,-111.40475864829,471444,5621748,691,Jackson Coulee Bonebed,DPF,704.418395996094,Contact 087,654.286865234375,50.131530761719,,,DPF4,Y,Y,Y,,Mixed faunal,UALVP,2019-07-01,,,,
L1116,BB,,50.7248280839375,-111.468238563388,466950,5619330,,MR#2,DPF,NA,Brinkman et al. 1998,NA,61,,,LCZ,N,Y,?,,Microsite in LCZ,,,,,,Brinkman et al. 1998; Sankey et al. 2005; Brinkman unpublished
L1117,BB,,50.7247538530197,-111.486372383416,465670,5619330,,DeeDee,DPF,NA,Brinkman et al. 1998,NA,54,,,DPF5,N,Y,?,,Microsite just below LCZ,,,,,,Brinkman et al. 1998; Sankey et al. 2005; Brinkman unpublished
L1118,BB,,50.7558832873651,-111.524689392789,462990,5622810,,Ken’s Site,DPF,NA,Brinkman et al. 1998,NA,0,,,DPF1,Y,Y,Y,,Same locality as L1119 but different depositional setting,,,,,,Brinkman et al. 1998; Sankey et al. 2005; Brinkman unpublished
L1119,BB,,50.7558832873651,-111.524689392789,462990,5622810,,Joe’s Site,DPF,NA,Brinkman et al. 1998,NA,0,,,DPF1,Y,Y,Y,,,,,,,,Brinkman et al. 1998; Sankey et al. 2005; Brinkman unpublished
L1120,BB,,50.8438061673443,-111.304666459892,478550,5632500,,Eric’s brother’s Site,DPF,NA,Brinkman et al. 1998,NA,15,,,DPF2,N,N,N,,Microsite outside DPP,,,,,,Brinkman et al. 1998; Sankey et al. 2005; Brinkman unpublished
L1121,BB,,50.8438061673443,-111.304666459892,478550,5632500,,Peng’s Site,DPF,NA,Brinkman et al. 1998,NA,54,,,DPF5,N,N,N,,"Microsite outside DPP, probably within LCZ",,,,,,Brinkman et al. 1998; Sankey et al. 2005; Brinkman unpublished
L1122,BB,,50.7576989943076,-111.381374555849,473100,5622950,,Ryan’s Site,DPF,NA,Brinkman et al. 1998,NA,52,,,DPF5,Y,Y,Y,,Microsite just below LCZ,,,,,,Brinkman et al. 1998; Sankey et al. 2005; Brinkman unpublished
L1127,BB,,,,,,,Wendy’s Site,Oldman,NA,NA,,NA,,,Oldman,?,Y,?,,Crevasse splay microsite; GPS coordinates unknown?,,,,,,Brinkman unpublished
L1142,BB,,,,,,,Cretin Site,DPF,NA,Contact 087,654.286865234375,5,,,DPF5,Y,Y,Y,,Microsite in BB180 area but higher strat level; GPS coordinates unknown,,,,,,Sankey et al. 2005; Brinkman unpublished
L2371,BB,,,,,,,Wolf Coulee Site,DPF,NA,NA,,50,,,DPF5,N,Y,?,,Wolf Coulee microsite,,,,,,Brinkman unpublished
L2377,BB,,,,,,,Beasley Shark Locality,DPF,NA,NA,,68,,,LCZ,?,Y,?,,,,,,,,Brinkman et al. 2005
Q001,Q,94,50.7533642912,-111.4678569239,466997,5622503,671.4,UT 1,DPF,671.170043945312,Contact 222,665.3928,5.77724394531208,,,DPF1,Y,Y,Y,,Centrosaurus apertus,W. A. Parks,,Y,,2002-05-16,
Q002,Q,93,50.7526149195,-111.4708264201,466787,5622421,669.7,UT 2,DPF,669.86865234375,Contact 221,665.392761230469,4.47589111328102,,,DPF1,Y,Y,Y,,Dyoplosaurus acutosquameus (holotype),L. Sternberg,,Y,,2003-05-20,
Q003,Q,92,50.7496425771,-111.474198637,466547,5622092,700,UT 3,DPF,699.716064453125,Contact 221,665.392761230469,34.323303222656,,,DPF4,Y,Y,Y,,Lambeosaurus lambei,L. Sternberg,,Y,,2003-05-24,
Q004,Q,79,50.7404139242,-111.4941451349,465133,5621075,694.6,UT 4,DPF,694.609985351562,Contact 201,670.5576,24.0523853515621,,,DPF3,Y,Y,Y,,Prosaurolophus maximus,,,Y,,2002-05-14,
Q005,Q,52,50.7420573973,-111.5314654015,462501,5621276,668,SDNH 3394,DPF,667.644897460938,Contact 228,666.099,1.662,,,DPF1,Y,Y,Y,,Corythosaurus casuarius,C. H. Sternberg,,Y,,2005-06-27,
Q006,Q,54,50.7408898827,-111.529142066,462664,5621145,668.9,AM,DPF,669.127807617188,Contact 185,667.315124511719,4.135,,,DPF1,Y,Y,Y,,Gorgosaurus libratus,R. T. Ronning?,,Y,,2005-06-27,
Q007,Q,55,50.7408051711,-111.5219981771,463168,5621132,672.2,UT 5,DPF,671.3388671875,Contact 232,664.387573242188,3.974,,,DPF1,Y,Y,Y,,Lambeosaurinae,L. Sternberg,,Y,,2005-06-27,
Q008,Q,69,50.7372744117,-111.511061107,463937,5620734,688.9,GSC 2,DPF,688.37548828125,Contact 155,662.1328,26.24268828125,,,DPF3,Y,Y,Y,,Panoplosaurus mirus (type),C. M. Sternberg,,Y,,1998-07-20,
Q009,Q,76,50.7403092529,-111.5038945944,464445,5621068,680.5,,DPF,680.207885742188,Contact 225,671.8,8.407885742188,,,DPF1,Y,Y,Y,,Edmontonia rugosidens,C. H. Sternberg,,Y,,2002-05-14,
Q010,Q,83,50.748809473,-111.4886627794,465526,5622006,675.9,GSC 3,DPF,674.870239257812,Contact 217,662.5041,12.3661392578121,,,DPF2,Y,Y,Y,,Chasmosaurus russelli,C. M. Sternberg,,Y,,2005-06-30,
Q011,Q,86,50.7519447257,-111.489446741,465473,5622355,664.1,UT 6; GSC 111,DPF,663.645874023438,Contact 217,662.5041,0.712,,,DPF1,Y,Y,Y,,Corythosaurus casuarius,L. Sternberg; C. M. Sternberg,,Y,,2005-06-25,
Q012,Q,87,50.7534974452,-111.4880311271,465574,5622527,663.2,UT 7,DPF,662.453796386719,Contact 213,661.609985351562,1.894,,,DPF1,Y,Y,Y,,Parasaurolophus walkeri (holotype),L. Sternberg,,Y,,2000-10-12,
Q013,Q,85,50.7479740376,-111.4841323735,465845,5621911,683.3,UT 8,DPF,682.454406738281,Contact 223,663.111,19.343406738281,,,DPF3,Y,Y,Y,,Corythosaurus intermedius,L. Sternberg,,Y,,2005-06-30,
Q014,Q,96,50.7503363668,-111.4441681042,468666,5622156,683.4,UT 10,DPF,683.044799804688,Contact 147,661.4158,21.628999804688,,,DPF3,Y,Y,Y,,Corythosaurus intermedius (holotype),L. Sternberg,,Y,,2000-10-12,
Q015,Q,97,50.7508064105,-111.4435346559,468711,5622208,681.7,UT 9,DPF,681.453186035156,Contact 147,661.4158,20.037386035156,,,DPF3,Y,Y,Y,,Corythosaurus casuarius,W. A. Parks,,Y,,2000-10-12,
Q016,Q,106,50.7511983054,-111.3945333666,472168,5622232,708.8,GSC 4,DPF,709.113891601562,Contact 074,656.457275390625,52.656616210937,,,DPF5,Y,Y,Y,,Styracosaurus albertensis (holotype),C. H. Sternberg,,Y,,1996-08-22,
Q017,Q,10,50.8142198246,-111.5906383993,458390,5629332,670.3,,DPF,669.798828125,Contact 017,648.4369,21.361928125,,,DPF3,Y,Y,Y,,Hadrosauridae,C. H. Sternberg,,Y,1998-07-27,2000-07-25,
Q018,Q,8,50.8163376465,-111.5879679919,458580,5629566,675.2,,DPF,675.528564453125,Contact 017,648.4369,27.091664453125,,,DPF3,Y,Y,Y,,Hadrosauridae,C. H. Sternberg,,Y,2003-06-15,2003-06-25,
Q019,Q,9,50.8147526378,-111.5848394106,458799,5629388,682.4,UT 11,DPF,682.161804199219,Contact 017,648.4369,33.7249041992189,,,DPF4,Y,Y,Y,,Chasmosaurus belli,L. Sternberg,,Y,,2003-06-15,
Q020,Q,12,50.8098911005,-111.5965592384,457969,5628854,682.9,UT 12,DPF,684.225769042969,Contact 011,647.2424,36.983369042969,,,DPF4,Y,Y,Y,,Ornithomimus,L. Sternberg,,Y,,2000-07-25,
Q021,Q,11,50.8073850679,-111.6116141218,456906,5628584,650,UT,DPF,649.983093261719,Contact 021,649.226989746094,0.756103515625,,,DPF1,N,Y,N,,Axestemys,L. Sternberg,,N,,2003-05-22,
Q022,Q,100,50.760275782,-111.4291622634,469731,5623255,651.3,UT 13,DPF,652.586547851562,Contact 125,659.6274,0,,,DPF1,Y,Y,Y,BB060,Centrosaurus apertus,L. Sternberg,,Y,,1998-08-23,
Q023,Q,101,50.765663819,-111.4263613814,469932,5623853,705.3,UT 14,DPF,705.210144042969,Contact 125,659.6274,45.582744042969,,,DPF5,Y,Y,Y,,Lambeosaurus lambei,L. Sternberg,,Y,,1998-08-23,
Q024,Q,1,50.8272200916,-111.6036096287,457488,5630785,650.3,AM 1,DPF,650.657592773438,Contact 021,649.226989746094,1.43060302734398,,,DPF1,Y,Y,Y,,Corythosaurus casuarius (holotype); young baenid turtle,B. Brown,,Y,,2000-07-25,
Q025,Q,24,50.8035004626,-111.6301400716,455597,5628163,683.8,UT 15,DPF,NA,Contact 021,649.226989746094,34.573010253906,,,DPF4,N,Y,N,,Chasmosaurus belli,L. Sternberg,,Y,,2003-05-22,
Q026,Q,20,50.8091929628,-111.6234464862,456074,5628792,654.7,UT 16,DPF,NA,Contact 021,649.226989746094,5.47301025390607,,,DPF1,N,Y,N,,Corythosaurus casuarius,L. Sternberg,,Y,,2002-07-20,
Q027,Q,19,50.8094161764,-111.6237475164,456053,5628817,652.2,UT 17,DPF,NA,Contact 021,649.226989746094,2.97301025390607,,,DPF1,N,Y,N,,Corythosaurus casuarius,L. Sternberg,,Y,,2002-07-20,
Q028,Q,18,50.8097739912,-111.6257819375,455910,5628858,652.2,UT 18,DPF,NA,Contact 021,649.226989746094,2.97301025390607,,,DPF1,N,Y,N,,Rativates evadens,L. Sternberg,,Y,,2002-07-20,
Q029,Q,21,50.8102474118,-111.6196424601,456343,5628907,647.1,UT 19,DPF,NA,Contact 021,649.226989746094,0,,,DPF1,N,Y,N,,Gorgosaurus libratus,L. Sternberg,,Y,1998-08-24,1998-08-24,
Q030,Q,23,50.8048075027,-111.6143904619,456708,5628299,658.2,UT 20,DPF,NA,Contact 021,649.226989746094,8.97301025390607,,,DPF1,N,Y,N,,Corythosaurus casuarius,L. Sternberg,,Y,,1998-08-24,
Q031,Q,22,50.8073579423,-111.6116421529,456904,5628581,649.4,UT 21,DPF,650.440490722656,Contact 021,649.226989746094,1.21350097656205,,,DPF1,Y,Y,Y,,Gorgosaurus libratus,L. Sternberg,,Y,,1998-08-24,
Q032,Q,32,50.7944752371,-111.6091328498,457069,5627147,672.5,UT 22,DPF,NA,Contact 003,642.0718,30.4281999999999,,,DPF3,N,Y,N,,Lambeosaurus lambei,L. Sternberg,,Y,,,
Q033,Q,33,50.7932215113,-111.6132737484,456776,5627010,675.4,UT 23,DPF,NA,Contact 003,642.0718,33.3281999999999,,,DPF3,N,Y,N,,Centrosaurus apertus,J. Rickett,,Y,,2002-07-20,
Q034,Q,26,50.7980031356,-111.6051629914,457352,5627537,648.1,UT 24,DPF,NA,Contact 003,642.0718,6.02819999999997,,,DPF1,N,Y,N,,Gryposaurus notabilis,L. Sternberg,,Y,,,
Q035,Q,27,50.796499581,-111.596771849,457942,5627365,658.7,GSC 5,DPF,658.549133300781,Contact 007,645.906616210938,12.6425170898431,,,DPF2,N,Y,N,,Gryposaurus notabilis (holotype),C. H. Sternberg,,Y,,2002-06-30,
Q036,Q,36,50.7903927009,-111.6004112174,457680,5626688,685.1,,DPF,NA,Contact 001,640.4181,44.6819,,,DPF5,N,Y,N,,Gorgosaurus libratus (holotype),C. M. Sternberg,,Y,,1968-08-26,
Q037,Q,37,50.7851902679,-111.5960320574,457984,5626107,691.9,GSC 7,DPF,NA,Contact 025,650.900634765625,40.999365234375,,,DPF5,N,Y,N,,Chasmosaurus belli (paratype),C. H. Sternberg,,Y,,1968-08-27,
Q038,Q,35,50.7883097233,-111.6169973815,456509,5626466,668.8,GSC 8,DPF,NA,Contact 009,646.088317871094,22.711682128906,,,DPF3,N,Y,N,,Lambeosaurinae,C. H. Sternberg,,Y,,2003-05-22,
Q039,Q,34,50.7886108484,-111.6229456921,456090,5626503,660.6,GSC 9,DPF,NA,Contact 009,646.088317871094,14.511682128906,,,DPF2,N,Y,N,,Lambeosaurinae,C. H. Sternberg,,Y,,2003-05-22,
Q040,Q,17,50.8096931349,-111.6274414819,455793,5628850,650.2,UT 25,DPF,NA,Contact 021,649.226989746094,0.973010253906068,,,DPF1,N,Y,N,,Corythosaurus casuarius,L. Sternberg,,Y,,1998-08-20,
Q041,Q,112,50.7678618332,-111.3613349008,474519,5624073,699.6,GSC 10,DPF,NA,Contact 106,658.793518066406,40.806481933594,,,DPF5,N,Y,?,,Euoplocephalus tutus,C. H. Sternberg,,Y,,1999-07-21,
Q042,Q,74,50.7362803115,-111.508060183,464148,5620622,690.1,,DPF,689.077087402344,Contact 155,662.1328,26.944287402344,,,DPF3,Y,Y,Y,,Centrosaurus apertus,C. H. Sternberg,,Y,,2005-06-30,
